number,value,datetime_start,datetime_complete,duration,params_coef0,params_degree,params_gamma,params_kernel,params_nu,state
37,0.5641157018558568,2026-09-01 08:06:05.190776,2026-09-01 08:06:05.870353,0 days 00:00:00.679577,0.8358879686500496,,auto,sigmoid,0.2469895736895532,COMPLETE
38,0.8449788405026548,2026-09-01 08:06:05.944741,2026-09-01 08:06:06.892261,0 days 00:00:00.947520,,,scale,rbf,0.22832926687787083,COMPLETE
39,0.6295713854620961,2026-09-01 08:06:06.967486,2026-09-01 08:06:08.062764,0 days 00:00:01.095278,0.4078064240601951,3.0,auto,poly,0.49661559895073293,COMPLETE
40,0.824874623691452,2026-09-01 08:06:08.126439,2026-09-01 08:06:08.613421,0 days 00:00:00.486982,,,scale,rbf,0.11587003268270368,COMPLETE
41,0.8453793980500212,2026-09-01 08:06:08.677392,2026-09-01 08:06:09.795857,0 days 00:00:01.118465,,,scale,rbf,0.27365229011258746,COMPLETE
42,0.8406993411457024,2026-09-01 08:06:09.875761,2026-09-01 08:06:11.234485,0 days 00:00:01.358724,,,scale,rbf,0.35041715581911254,COMPLETE
43,0.8430932562634268,2026-09-01 08:06:11.313790,2026-09-01 08:06:12.528002,0 days 00:00:01.214212,,,scale,rbf,0.30464340329789236,COMPLETE
44,0.8226531459035357,2026-09-01 08:06:12.591476,2026-09-01 08:06:13.631215,0 days 00:00:01.039739,,,auto,rbf,0.25438956079854574,COMPLETE
45,0.546096899002019,2026-09-01 08:06:13.694662,2026-09-01 08:06:14.478341,0 days 00:00:00.783679,0.17789164477592984,,scale,sigmoid,0.22952545039048125,COMPLETE
46,0.8121820686731666,2026-09-01 08:06:14.541907,2026-09-01 08:06:14.793457,0 days 00:00:00.251550,,,scale,rbf,0.0513454169913643,COMPLETE
47,0.7067433773288021,2026-09-01 08:06:14.872968,2026-09-01 08:06:15.551928,0 days 00:00:00.678960,0.023076480886311312,4.0,auto,poly,0.31487750421870553,COMPLETE
48,0.8443542042376473,2026-09-01 08:06:15.637042,2026-09-01 08:06:16.786893,0 days 00:00:01.149851,,,scale,rbf,0.283576188340737,COMPLETE
49,0.8374127036017848,2026-09-01 08:06:16.866255,2026-09-01 08:06:18.354886,0 days 00:00:01.488631,,,scale,rbf,0.3842174648195044,COMPLETE
50,0.8400064484376459,2026-09-01 08:06:18.434198,2026-09-01 08:06:19.233306,0 days 00:00:00.799108,,,scale,rbf,0.19531860858956857,COMPLETE
51,0.8456816124327315,2026-09-01 08:06:19.312743,2026-09-01 08:06:20.358764,0 days 00:00:01.046021,,,scale,rbf,0.2568303225656493,COMPLETE
52,0.8458872798729712,2026-09-01 08:06:20.438167,2026-09-01 08:06:21.526529,0 days 00:00:01.088362,,,scale,rbf,0.26725932594465396,COMPLETE
53,0.8436523304186635,2026-09-01 08:06:21.589972,2026-09-01 08:06:22.756007,0 days 00:00:01.166035,,,scale,rbf,0.2893602989341309,COMPLETE
54,0.8446128602323593,2026-09-01 08:06:22.819574,2026-09-01 08:06:23.780401,0 days 00:00:00.960827,,,scale,rbf,0.23651833668715153,COMPLETE
55,0.8419764551195924,2026-09-01 08:06:23.859728,2026-09-01 08:06:25.147914,0 days 00:00:01.288186,,,scale,rbf,0.3230309879008009,COMPLETE
56,0.8434385799785891,2026-09-01 08:06:25.211433,2026-09-01 08:06:26.091356,0 days 00:00:00.879923,,,scale,rbf,0.21334452782718094,COMPLETE
57,0.8459874192598127,2026-09-01 08:06:26.170781,2026-09-01 08:06:27.241135,0 days 00:00:01.070354,,,scale,rbf,0.2659646200751125,COMPLETE
58,0.8220949698593919,2026-09-01 08:06:27.320562,2026-09-01 08:06:28.646878,0 days 00:00:01.326316,,,auto,rbf,0.34145763372204757,COMPLETE
59,0.5385985694886515,2026-09-01 08:06:28.720284,2026-09-01 08:06:29.303600,0 days 00:00:00.583316,0.6055079596524611,,scale,sigmoid,0.16977094418020655,COMPLETE
60,0.8438490167479756,2026-09-01 08:06:29.383044,2026-09-01 08:06:30.565266,0 days 00:00:01.182222,,,scale,rbf,0.295791456856986,COMPLETE
61,0.8460556757028617,2026-09-01 08:06:30.635435,2026-09-01 08:06:31.704136,0 days 00:00:01.068701,,,scale,rbf,0.26526943090093663,COMPLETE
62,0.8460067286483068,2026-09-01 08:06:31.778393,2026-09-01 08:06:32.830961,0 days 00:00:01.052568,,,scale,rbf,0.2602455876669567,COMPLETE
63,0.8452159418311407,2026-09-01 08:06:32.894365,2026-09-01 08:06:33.893622,0 days 00:00:00.999257,,,scale,rbf,0.24603914598077234,COMPLETE
64,0.8443375891824315,2026-09-01 08:06:33.956792,2026-09-01 08:06:35.113062,0 days 00:00:01.156270,,,scale,rbf,0.283561060865981,COMPLETE
65,0.8433537084803242,2026-09-01 08:06:35.176112,2026-09-01 08:06:36.081635,0 days 00:00:00.905523,,,scale,rbf,0.2166686741277595,COMPLETE
66,0.8458823402619611,2026-09-01 08:06:36.144274,2026-09-01 08:06:37.192917,0 days 00:00:01.048643,,,scale,rbf,0.25837299511658224,COMPLETE
67,0.6989895352095472,2026-09-01 08:06:37.256481,2026-09-01 08:06:38.013405,0 days 00:00:00.756924,0.3289064452921799,3.0,scale,poly,0.31238279734708074,COMPLETE
68,0.8414515091858803,2026-09-01 08:06:38.092728,2026-09-01 08:06:38.925541,0 days 00:00:00.832813,,,scale,rbf,0.20330307003532838,COMPLETE
69,0.8448122408949498,2026-09-01 08:06:39.004960,2026-09-01 08:06:39.963118,0 days 00:00:00.958158,,,scale,rbf,0.23432782275433997,COMPLETE
70,0.8456856539326488,2026-09-01 08:06:40.042547,2026-09-01 08:06:41.129775,0 days 00:00:01.087228,,,scale,rbf,0.26903953385546603,COMPLETE
71,0.8453605377170734,2026-09-01 08:06:41.209278,2026-09-01 08:06:42.319088,0 days 00:00:01.109810,,,scale,rbf,0.2723462914612929,COMPLETE
72,0.8461966791444234,2026-09-01 08:06:42.388117,2026-09-01 08:06:43.440337,0 days 00:00:01.052220,,,scale,rbf,0.2616803901533394,COMPLETE
73,0.8452824020520042,2026-09-01 08:06:43.503786,2026-09-01 08:06:44.523630,0 days 00:00:01.019844,,,scale,rbf,0.24745984776156907,COMPLETE
74,0.8436155078638607,2026-09-01 08:06:44.598558,2026-09-01 08:06:45.741906,0 days 00:00:01.143348,,,scale,rbf,0.28950489500009735,COMPLETE
75,0.8429787470991011,2026-09-01 08:06:45.820656,2026-09-01 08:06:47.016305,0 days 00:00:01.195649,,,scale,rbf,0.3022368747070379,COMPLETE
76,0.543726334772706,2026-09-01 08:06:47.094781,2026-09-01 08:06:47.851030,0 days 00:00:00.756249,0.4991119390638332,,scale,sigmoid,0.22166547315358756,COMPLETE
77,0.8210482213807919,2026-09-01 08:06:47.914552,2026-09-01 08:06:48.890697,0 days 00:00:00.976145,,,auto,rbf,0.23951977609215774,COMPLETE
78,0.8460484908141197,2026-09-01 08:06:48.970081,2026-09-01 08:06:50.025624,0 days 00:00:01.055543,,,scale,rbf,0.2605750870090448,COMPLETE
79,0.6981888691703608,2026-09-01 08:06:50.089124,2026-09-01 08:06:50.782625,0 days 00:00:00.693501,0.7176656785544577,4.0,scale,poly,0.2788979096128365,COMPLETE
80,0.8418040177897845,2026-09-01 08:06:50.861950,2026-09-01 08:06:52.134851,0 days 00:00:01.272901,,,scale,rbf,0.32514840566345676,COMPLETE
81,0.8458432724294265,2026-09-01 08:06:52.214098,2026-09-01 08:06:53.253743,0 days 00:00:01.039645,,,scale,rbf,0.2594232229131222,COMPLETE
82,0.8309476509006258,2026-09-01 08:06:53.333160,2026-09-01 08:06:55.110234,0 days 00:00:01.777074,,,scale,rbf,0.47133666118439965,COMPLETE
83,0.846300410975636,2026-09-01 08:06:55.182226,2026-09-01 08:06:56.229092,0 days 00:00:01.046866,,,scale,rbf,0.2620241576430626,COMPLETE
84,0.8439073939690043,2026-09-01 08:06:56.306782,2026-09-01 08:06:57.482119,0 days 00:00:01.175337,,,scale,rbf,0.29540701853526913,COMPLETE
85,0.8453322472176519,2026-09-01 08:06:57.560551,2026-09-01 08:06:58.550782,0 days 00:00:00.990231,,,scale,rbf,0.24086977641635063,COMPLETE
86,0.8407222429785675,2026-09-01 08:06:58.629567,2026-09-01 08:06:59.463009,0 days 00:00:00.833442,,,scale,rbf,0.19975841120537807,COMPLETE
87,0.8462806525315956,2026-09-01 08:06:59.526584,2026-09-01 08:07:00.582107,0 days 00:00:01.055523,,,scale,rbf,0.26196331490547237,COMPLETE
88,0.8450170102240966,2026-09-01 08:07:00.661448,2026-09-01 08:07:01.603853,0 days 00:00:00.942405,,,scale,rbf,0.22747732834455514,COMPLETE
89,0.8225956667935997,2026-09-01 08:07:01.667415,2026-09-01 08:07:02.670314,0 days 00:00:01.002899,,,auto,rbf,0.24899263793633164,COMPLETE
90,0.5494971475991693,2026-09-01 08:07:02.749731,2026-09-01 08:07:03.912416,0 days 00:00:01.162685,0.8583587206862674,,scale,sigmoid,0.31396928750412717,COMPLETE
91,0.8451108628332891,2026-09-01 08:07:03.991754,2026-09-01 08:07:05.096873,0 days 00:00:01.105119,,,scale,rbf,0.2765053458858181,COMPLETE
92,0.8462626903097406,2026-09-01 08:07:05.176298,2026-09-01 08:07:06.229833,0 days 00:00:01.053535,,,scale,rbf,0.2636944297724756,COMPLETE
93,0.8455935975456419,2026-09-01 08:07:06.314015,2026-09-01 08:07:07.331584,0 days 00:00:01.017569,,,scale,rbf,0.2544049162362737,COMPLETE
94,0.8445041887901366,2026-09-01 08:07:07.409389,2026-09-01 08:07:08.540216,0 days 00:00:01.130827,,,scale,rbf,0.282404903129851,COMPLETE
95,0.8462510148655349,2026-09-01 08:07:08.619644,2026-09-01 08:07:09.675751,0 days 00:00:01.056107,,,scale,rbf,0.26236261568238994,COMPLETE
96,0.8443654306263068,2026-09-01 08:07:09.755038,2026-09-01 08:07:10.667197,0 days 00:00:00.912159,,,scale,rbf,0.221602397851053,COMPLETE
97,0.8439469108570854,2026-09-01 08:07:10.746566,2026-09-01 08:07:11.927070,0 days 00:00:01.180504,,,scale,rbf,0.29522789263309057,COMPLETE
98,0.8459366759830723,2026-09-01 08:07:11.990631,2026-09-01 08:07:13.046180,0 days 00:00:01.055549,,,scale,rbf,0.25983342360805706,COMPLETE
99,0.8446411507317809,2026-09-01 08:07:13.125608,2026-09-01 08:07:14.085979,0 days 00:00:00.960371,,,scale,rbf,0.2363142244600946,COMPLETE
100,0.7121814399954016,2026-09-01 08:07:14.149377,2026-09-01 08:07:14.588861,0 days 00:00:00.439484,0.18657172014123247,2.0,scale,poly,0.17941417417808858,COMPLETE
101,0.8462626903097407,2026-09-01 08:07:14.668274,2026-09-01 08:07:15.742816,0 days 00:00:01.074542,,,scale,rbf,0.2634375968153863,COMPLETE
102,0.8454058923272574,2026-09-01 08:07:15.813590,2026-09-01 08:07:16.898425,0 days 00:00:01.084835,,,scale,rbf,0.274291321515685,COMPLETE
103,0.8453344924953837,2026-09-01 08:07:16.971791,2026-09-01 08:07:17.995653,0 days 00:00:01.023862,,,scale,rbf,0.25051136007004193,COMPLETE
104,0.8462402375324217,2026-09-01 08:07:18.059127,2026-09-01 08:07:19.116607,0 days 00:00:01.057480,,,scale,rbf,0.2630575786959736,COMPLETE
105,0.8439976541338257,2026-09-01 08:07:19.196014,2026-09-01 08:07:20.334521,0 days 00:00:01.138507,,,scale,rbf,0.2860160387256302,COMPLETE
106,0.8453192246068071,2026-09-01 08:07:20.413319,2026-09-01 08:07:21.405646,0 days 00:00:00.992327,,,scale,rbf,0.24233096345279478,COMPLETE
107,0.8430142224872649,2026-09-01 08:07:21.468710,2026-09-01 08:07:22.335245,0 days 00:00:00.866535,,,scale,rbf,0.21156284768208306,COMPLETE
108,0.8430299394313878,2026-09-01 08:07:22.413610,2026-09-01 08:07:23.619623,0 days 00:00:01.206013,,,scale,rbf,0.30476233944929526,COMPLETE
109,0.8243258778137821,2026-09-01 08:07:23.698956,2026-09-01 08:07:24.753536,0 days 00:00:01.054580,,,auto,rbf,0.2657714700758728,COMPLETE
110,0.8447489240629108,2026-09-01 08:07:24.832856,2026-09-01 08:07:25.746558,0 days 00:00:00.913702,,,scale,rbf,0.22542941010079476,COMPLETE
111,0.8460085248704924,2026-09-01 08:07:25.825926,2026-09-01 08:07:26.864598,0 days 00:00:01.038672,,,scale,rbf,0.26051051090033917,COMPLETE
112,0.8450884100559702,2026-09-01 08:07:26.943974,2026-09-01 08:07:28.056871,0 days 00:00:01.112897,,,scale,rbf,0.27779583907819055,COMPLETE
113,0.8443528570710083,2026-09-01 08:07:28.119655,2026-09-01 08:07:29.288224,0 days 00:00:01.168569,,,scale,rbf,0.29244483795698917,COMPLETE
114,0.8462415846990609,2026-09-01 08:07:29.367588,2026-09-01 08:07:30.421595,0 days 00:00:01.054007,,,scale,rbf,0.2628732015528018,COMPLETE
115,0.8453075491626012,2026-09-01 08:07:30.485073,2026-09-01 08:07:31.508410,0 days 00:00:01.023337,,,scale,rbf,0.25029759779604405,COMPLETE
116,0.5474103864751654,2026-09-01 08:07:31.587789,2026-09-01 08:07:32.482636,0 days 00:00:00.894847,0.48922765614516783,,scale,sigmoid,0.2690860757778596,COMPLETE
117,0.844585018788484,2026-09-01 08:07:32.562100,2026-09-01 08:07:33.680996,0 days 00:00:01.118896,,,scale,rbf,0.2813030394608195,COMPLETE
118,0.8447489240629109,2026-09-01 08:07:33.760331,2026-09-01 08:07:34.704826,0 days 00:00:00.944495,,,scale,rbf,0.23477286436922537,COMPLETE
119,0.8431556749843727,2026-09-01 08:07:34.784171,2026-09-01 08:07:35.992417,0 days 00:00:01.208246,,,scale,rbf,0.3031385004814835,COMPLETE
120,0.6879872252678167,2026-09-01 08:07:36.056993,2026-09-01 08:07:36.655161,0 days 00:00:00.598168,0.6607583335451014,5.0,scale,poly,0.24408588632685532,COMPLETE
121,0.8458881779840639,2026-09-01 08:07:36.734468,2026-09-01 08:07:37.780121,0 days 00:00:01.045653,,,scale,rbf,0.2595803397273652,COMPLETE
122,0.8460426530920169,2026-09-01 08:07:37.858640,2026-09-01 08:07:38.923144,0 days 00:00:01.064504,,,scale,rbf,0.2656236994093295,COMPLETE
123,0.7690682456657159,2026-09-01 08:07:38.986013,2026-09-01 08:07:39.048953,0 days 00:00:00.062940,,,scale,rbf,0.010299976126004279,COMPLETE
124,0.8456299710448983,2026-09-01 08:07:39.112095,2026-09-01 08:07:40.206298,0 days 00:00:01.094203,,,scale,rbf,0.26968739424417737,COMPLETE
125,0.843659066251859,2026-09-01 08:07:40.269769,2026-09-01 08:07:41.431451,0 days 00:00:01.161682,,,scale,rbf,0.290099232058539,COMPLETE
126,0.845228066330893,2026-09-01 08:07:41.509958,2026-09-01 08:07:42.626786,0 days 00:00:01.116828,,,scale,rbf,0.27710196719496427,COMPLETE
127,0.845546895768819,2026-09-01 08:07:42.689708,2026-09-01 08:07:43.731768,0 days 00:00:01.042060,,,scale,rbf,0.2529848540461717,COMPLETE
128,0.8193355235269181,2026-09-01 08:07:43.810380,2026-09-01 08:07:44.724816,0 days 00:00:00.914436,,,auto,rbf,0.22965333471097327,COMPLETE
129,0.8460686983137066,2026-09-01 08:07:44.803321,2026-09-01 08:07:45.889884,0 days 00:00:01.086563,,,scale,rbf,0.2653946455025464,COMPLETE
130,0.8453663754391763,2026-09-01 08:07:45.952541,2026-09-01 08:07:46.943335,0 days 00:00:00.990794,,,scale,rbf,0.24101971799322333,COMPLETE
131,0.8460669020915211,2026-09-01 08:07:47.021970,2026-09-01 08:07:48.113697,0 days 00:00:01.091727,,,scale,rbf,0.2653639352906659,COMPLETE
132,0.8454741487703064,2026-09-01 08:07:48.185372,2026-09-01 08:07:49.203342,0 days 00:00:01.017970,,,scale,rbf,0.2525645620527106,COMPLETE
133,0.8440825256320905,2026-09-01 08:07:49.275846,2026-09-01 08:07:50.409656,0 days 00:00:01.133810,,,scale,rbf,0.2847359351913894,COMPLETE
134,0.8453520056616922,2026-09-01 08:07:50.488151,2026-09-01 08:07:51.581381,0 days 00:00:01.093230,,,scale,rbf,0.2723898638533753,COMPLETE
135,0.8462352979214117,2026-09-01 08:07:51.660205,2026-09-01 08:07:52.714618,0 days 00:00:01.054413,,,scale,rbf,0.2622170250789287,COMPLETE
136,0.8423680315560313,2026-09-01 08:07:52.793309,2026-09-01 08:07:54.046469,0 days 00:00:01.253160,,,scale,rbf,0.31747067138927004,COMPLETE
137,0.8436235908636954,2026-09-01 08:07:54.125534,2026-09-01 08:07:55.321434,0 days 00:00:01.195900,,,scale,rbf,0.2971987668858694,COMPLETE
138,0.8451220892219483,2026-09-01 08:07:55.400035,2026-09-01 08:07:56.390761,0 days 00:00:00.990726,,,scale,rbf,0.24465331232753698,COMPLETE
139,0.549309891436331,2026-09-01 08:07:56.453521,2026-09-01 08:07:57.321234,0 days 00:00:00.867713,0.09255835683723401,,scale,sigmoid,0.2625322540895882,COMPLETE
140,0.8451607079989366,2026-09-01 08:07:57.399898,2026-09-01 08:07:58.525656,0 days 00:00:01.125758,,,scale,rbf,0.27836576530320933,COMPLETE
141,0.845665446433062,2026-09-01 08:07:58.604141,2026-09-01 08:07:59.651566,0 days 00:00:01.047425,,,scale,rbf,0.2557192116398612,COMPLETE
142,0.8447915843398165,2026-09-01 08:07:59.714341,2026-09-01 08:08:00.676746,0 days 00:00:00.962405,,,scale,rbf,0.23274017630782953,COMPLETE
143,0.8460336719810894,2026-09-01 08:08:00.747519,2026-09-01 08:08:01.808646,0 days 00:00:01.061127,,,scale,rbf,0.2657292826650708,COMPLETE
144,0.8436339191412622,2026-09-01 08:08:01.887124,2026-09-01 08:08:03.036687,0 days 00:00:01.149563,,,scale,rbf,0.28878287445106043,COMPLETE
145,0.845283300163097,2026-09-01 08:08:03.131874,2026-09-01 08:08:04.147555,0 days 00:00:01.015681,,,scale,rbf,0.24832527046391542,COMPLETE
146,0.8452240248309756,2026-09-01 08:08:04.226413,2026-09-01 08:08:05.363782,0 days 00:00:01.137369,,,scale,rbf,0.27564342306314976,COMPLETE
147,0.7100385469281008,2026-09-01 08:08:05.434038,2026-09-01 08:08:05.964483,0 days 00:00:00.530445,0.9986504632361682,3.0,scale,poly,0.21987960494528175,COMPLETE
148,0.8458639289845598,2026-09-01 08:08:06.043417,2026-09-01 08:08:07.091079,0 days 00:00:01.047662,,,scale,rbf,0.25813751795932527,COMPLETE
149,0.8448288559501655,2026-09-01 08:08:07.153890,2026-09-01 08:08:08.122079,0 days 00:00:00.968189,,,scale,rbf,0.23729267528934772,COMPLETE
150,0.7670034882634842,2026-09-01 08:08:08.185407,2026-09-01 08:08:08.399054,0 days 00:00:00.213647,,,auto,rbf,0.04762441013439772,COMPLETE
151,0.845834291318499,2026-09-01 08:08:08.462591,2026-09-01 08:08:09.540283,0 days 00:00:01.077692,,,scale,rbf,0.2675579507259102,COMPLETE
152,0.8461261774236426,2026-09-01 08:08:09.618921,2026-09-01 08:08:10.674108,0 days 00:00:01.055187,,,scale,rbf,0.2648673518375034,COMPLETE
153,0.8440515407993907,2026-09-01 08:08:10.752803,2026-09-01 08:08:11.893351,0 days 00:00:01.140548,,,scale,rbf,0.28478962014723896,COMPLETE
154,0.8455810239903434,2026-09-01 08:08:11.956220,2026-09-01 08:08:12.994215,0 days 00:00:01.037995,,,scale,rbf,0.25422443571050957,COMPLETE
155,0.8454440620486992,2026-09-01 08:08:13.072968,2026-09-01 08:08:14.153629,0 days 00:00:01.080661,,,scale,rbf,0.2717158475144141,COMPLETE
156,0.8452765643299013,2026-09-01 08:08:14.232822,2026-09-01 08:08:15.232127,0 days 00:00:00.999305,,,scale,rbf,0.24546244898717257,COMPLETE
157,0.8429899734877606,2026-09-01 08:08:15.310986,2026-09-01 08:08:16.538185,0 days 00:00:01.227199,,,scale,rbf,0.30538766787741395,COMPLETE
158,0.8461791659781148,2026-09-01 08:08:16.616807,2026-09-01 08:08:17.680152,0 days 00:00:01.063345,,,scale,rbf,0.26152017423926266,COMPLETE
159,0.8450596705010024,2026-09-01 08:08:17.759079,2026-09-01 08:08:18.875212,0 days 00:00:01.116133,,,scale,rbf,0.2780612324582251,COMPLETE
160,0.8441130614092441,2026-09-01 08:08:18.947029,2026-09-01 08:08:20.121254,0 days 00:00:01.174225,,,scale,rbf,0.2933325173459463,COMPLETE
161,0.8462424828101538,2026-09-01 08:08:20.199754,2026-09-01 08:08:21.247573,0 days 00:00:01.047819,,,scale,rbf,0.26264799098697106,COMPLETE
162,0.8462487695878029,2026-09-01 08:08:21.326349,2026-09-01 08:08:22.380787,0 days 00:00:01.054438,,,scale,rbf,0.2633307902458087,COMPLETE
163,0.8459721513712359,2026-09-01 08:08:22.459331,2026-09-01 08:08:23.505539,0 days 00:00:01.046208,,,scale,rbf,0.26040548583222134,COMPLETE
164,0.8452895869407462,2026-09-01 08:08:23.584344,2026-09-01 08:08:24.591185,0 days 00:00:01.006841,,,scale,rbf,0.2469355300235667,COMPLETE
165,0.8457076576544211,2026-09-01 08:08:24.653940,2026-09-01 08:08:25.747216,0 days 00:00:01.093276,,,scale,rbf,0.2689327490083186,COMPLETE
166,0.8455828202125291,2026-09-01 08:08:25.820133,2026-09-01 08:08:26.857417,0 days 00:00:01.037284,,,scale,rbf,0.25427496409452377,COMPLETE
167,0.8451337646661542,2026-09-01 08:08:26.929224,2026-09-01 08:08:27.906448,0 days 00:00:00.977224,,,scale,rbf,0.238476746853732,COMPLETE
